complex_name,protein_path,ligand_description,protein_sequence
1VCJ_IBA,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1VCJ_IBA_holo_aligned_predicted_protein.pdb,CCC(CC)Nc1cc(C(=O)O)ccc1N1C(=O)CC[C@@]1(CN)CO,
1G9V_RQ3,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1G9V_RQ3_holo_aligned_predicted_protein.pdb,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,
1UOU_CMU,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1UOU_CMU_holo_aligned_predicted_protein.pdb,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,
1TZ8_DES,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1TZ8_DES_holo_aligned_predicted_protein.pdb,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,
1TOW_CRZ,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1TOW_CRZ_holo_aligned_predicted_protein.pdb,O=C(O)CCCn1c2ccccc2c2ccccc21,
1XOQ_ROF,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1XOQ_ROF_holo_aligned_predicted_protein.pdb,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,
1MZC_BNE,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1MZC_BNE_holo_aligned_predicted_protein.pdb,CC[C@@]1(c2cccc(Oc3cc([C@](C)(N)c4cncn4C)ccc3C#N)c2)CCCCN(C)C1=O,
1N46_PFA,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N46_PFA_holo_aligned_predicted_protein.pdb,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1Oc1ccc(O)c(C(C)C)c1,
1R9O_FLP,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R9O_FLP_holo_aligned_predicted_protein.pdb,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,
1K3U_IAD,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1K3U_IAD_holo_aligned_predicted_protein.pdb,O=C(O)C[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O,
1X8X_TYR,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1X8X_TYR_holo_aligned_predicted_protein.pdb,N[C@@H](Cc1ccc(O)cc1)C(=O)O,
1S19_MC9,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1S19_MC9_holo_aligned_predicted_protein.pdb,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,
1OF1_SCT,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1OF1_SCT_holo_aligned_predicted_protein.pdb,Cc1cn([C@@]23C[C@H](O)[C@@H](CO)[C@@H]2C3)c(=O)[nH]c1=O,
1LPZ_CMB,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1LPZ_CMB_holo_aligned_predicted_protein.pdb,Cc1cccc2c1cc(C(=O)NCc1cc(Cl)cc(Cl)c1)n2Cc1cccc(C(=N)N)c1,
1T46_STI,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1T46_STI_holo_aligned_predicted_protein.pdb,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,
1XOZ_CIA,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1XOZ_CIA_holo_aligned_predicted_protein.pdb,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,
1UML_FR4,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1UML_FR4_holo_aligned_predicted_protein.pdb,NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(NC(=O)CCc4ccccc4)cc32)cn1,
1SQ5_PAU,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1SQ5_PAU_holo_aligned_predicted_protein.pdb,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,
1MMV_3AR,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1MMV_3AR_holo_aligned_predicted_protein.pdb,CCCNC(=[NH2+])NCCC[C@H](N)C(=O)O,
1J3J_CP6,data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1J3J_CP6_holo_aligned_predicted_protein.pdb,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,
