Cleaned_SMILES,pdb_id
CCCNC(=[NH2+])NCCC[C@H](N)C(=O)O,1MMV_3AR
O=C(O)c1sccc1S(=O)(=O)Nc1ccc(Cl)cc1,1L2S_STC
Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1Oc1ccc(O)c(C(C)C)c1,1N46_PFA
COc1ccc(S(=O)(=O)NCC2CC2)cc1Nc1ncc(-c2cccc(-c3cccnc3)c2)o1,1Y6B_AAX
C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n(C3CCNCC3)n2C)n1)c1ccccc1,1YWR_LI9
Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2,1YV3_BIT
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1R9O_FLP
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,1IG3_VIB
CC(C)SCC[C@@H](N)[C@H](O)C(=O)NNC(=O)c1cccc(Cl)c1,1R58_AO5
CCOc1cc(OCC)c(F)c([C@@H](Nc2ccc(C(=N)N)c(O)c2)C(=O)NS(=O)(=O)c2cccc(N)c2)c1,1YGC_905
C/C=C1\[C@@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,1GPK_HUP
NS(=O)(=O)c1ccc2c(c1)CNCC2,1HNN_SKF
O=C(O)C[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O,1K3U_IAD
CSC[C@H]1[NH2+][C@@H](c2c[nH]c3c(=O)[nH]cnc23)[C@H](O)[C@@H]1O,1Q1G_MTI
CC1(C)[C@H](C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2[S@H]1O,1GM8_SOX
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,1OPK_P16
O=c1[nH]c(=O)n(COCCO)cc1Cc1ccccc1,1U1C_BAU
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1T46_STI
