Cleaned_SMILES,pdb_id
CCC(CC)Nc1cc(C(=O)O)ccc1N1C(=O)CC[C@@]1(CN)CO,1VCJ_IBA
Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,1G9V_RQ3
CCCOc1cc([C@]2(C)CNC(=O)O2)ccc1OC,1XM6_5RM
N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,1UOU_CMU
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,1TZ8_DES
O=C(O)CCCn1c2ccccc2c2ccccc21,1TOW_CRZ
O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,1XOQ_ROF
CC[C@@]1(c2cccc(Oc3cc([C@](C)(N)c4cncn4C)ccc3C#N)c2)CCCCN(C)C1=O,1MZC_BNE
Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1Oc1ccc(O)c(C(C)C)c1,1N46_PFA
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1R9O_FLP
O=C(O)C[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O,1K3U_IAD
N[C@@H](Cc1ccc(O)cc1)C(=O)O,1X8X_TYR
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,1S19_MC9
Cc1cn([C@@]23C[C@H](O)[C@@H](CO)[C@@H]2C3)c(=O)[nH]c1=O,1OF1_SCT
Cc1cccc2c1cc(C(=O)NCc1cc(Cl)cc(Cl)c1)n2Cc1cccc(C(=N)N)c1,1LPZ_CMB
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1T46_STI
CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,1XOZ_CIA
NC(=O)c1cn([C@@H](CO)CCn2ccc3ccc(NC(=O)CCc4ccccc4)cc32)cn1,1UML_FR4
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,1SQ5_PAU
CCCNC(=[NH2+])NCCC[C@H](N)C(=O)O,1MMV_3AR
