id,input_receptor,input_ligand,input_template
1MMV_3AR,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1MMV_3AR_holo_aligned_predicted_protein.pdb,CC(=O)[O-]|CC(=O)[O-]|CCC1C(C)C2C[C@@H]3[C@H](CC)C(C)[C@@H]4C[C@@H]5[C@@H](C)[C@H](CCC(O)O)C6C[C@@H]7C(CCC(O)O)[C@@H](C)[C@@H]8C[C@H]1N2[Fe@SP2](N65)(N34)N78|CCCNC(=[NH2+])NCCC[C@H](N)C(=O)O|CC[C@@H]1C(C)[C@H]2C[C@@H]3[C@H](CC)C(C)[C@@H]4C[C@@H]5C(C)[C@H](CCC(O)O)C6C[C@@H]7C(CCC(O)O)[C@@H](C)C8C[C@H]1N2[Fe@SP1](N87)(N65)N34|C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1|C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1|[Zn+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1MMV_3AR_holo_aligned_predicted_protein.pdb
1L2S_STC,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1L2S_STC_holo_aligned_predicted_protein.pdb,O=C(O)c1sccc1S(=O)(=O)Nc1ccc(Cl)cc1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1L2S_STC_holo_aligned_predicted_protein.pdb
1N46_PFA,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N46_PFA_holo_aligned_predicted_protein.pdb,Cc1cc(-n2ncc(=O)[nH]c2=O)cc(C)c1Oc1ccc(O)c(C(C)C)c1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1N46_PFA_holo_aligned_predicted_protein.pdb
1Y6B_AAX,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1Y6B_AAX_holo_aligned_predicted_protein.pdb,COc1ccc(S(=O)(=O)NCC2CC2)cc1Nc1ncc(-c2cccc(-c3cccnc3)c2)o1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1Y6B_AAX_holo_aligned_predicted_protein.pdb
1YWR_LI9,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YWR_LI9_holo_aligned_predicted_protein.pdb,C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n(C3CCNCC3)n2C)n1)c1ccccc1,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YWR_LI9_holo_aligned_predicted_protein.pdb
1YV3_BIT,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YV3_BIT_holo_aligned_predicted_protein.pdb,Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2|Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O|O=[V]([O-])([O-])[O-]|OCCO|[Mg+2]|[Mg+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YV3_BIT_holo_aligned_predicted_protein.pdb
1R9O_FLP,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R9O_FLP_holo_aligned_predicted_protein.pdb,CCC1C(C)[C@H]2C[C@H]3C(C)C(CCC(O)O)[C@H]4C[C@H]5[C@H](CCC(O)O)[C@@H](C)[C@@H]6C[C@H]7C(CC)C(C)[C@H]8CC1N2[Fe@SP3](N43)(N87)N65|C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1|OCC(O)CO,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R9O_FLP_holo_aligned_predicted_protein.pdb
1IG3_VIB,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1IG3_VIB_holo_aligned_predicted_protein.pdb,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1IG3_VIB_holo_aligned_predicted_protein.pdb
1R58_AO5,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R58_AO5_holo_aligned_predicted_protein.pdb,CC(C)SCC[C@@H](N)[C@H](O)C(=O)NNC(=O)c1cccc(Cl)c1|[Mn+2]|[Mn+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1R58_AO5_holo_aligned_predicted_protein.pdb
1YGC_905,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YGC_905_holo_aligned_predicted_protein.pdb,CCOc1cc(OCC)c(F)c([C@@H](Nc2ccc(C(=N)N)c(O)c2)C(=O)NS(=O)(=O)c2cccc(N)c2)c1|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|O=S(=O)([O-])[O-]|[Ca+2]|[Ca+2],/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1YGC_905_holo_aligned_predicted_protein.pdb
1GPK_HUP,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1GPK_HUP_holo_aligned_predicted_protein.pdb,C/C=C1\[C@@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2|CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O|CC(O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,/cluster/pixstor/chengji-lab/acmwhb/Repositories/Lab_Repositories/PoseBench/data/astex_diverse_set/astex_diverse_holo_aligned_predicted_structures/1GPK_HUP_holo_aligned_predicted_protein.pdb
