id,input_receptor,input_ligand,input_template
5u82_2_ZN0_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5u82_2_ZN0_0_holo_aligned_predicted_protein.pdb,CC[SnH](CC)CC,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5u82_2_ZN0_0_holo_aligned_predicted_protein.pdb
4zav_1_4LS_8,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4zav_1_4LS_8_holo_aligned_predicted_protein.pdb,CC(C)CCN1C2CC(C)[C@@H](C)CC2N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O)[C@H]2NC(O)N[C@@H](O)C21,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4zav_1_4LS_8_holo_aligned_predicted_protein.pdb
4rpj_1_UDP_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4rpj_1_UDP_0_holo_aligned_predicted_protein.pdb,OC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4rpj_1_UDP_0_holo_aligned_predicted_protein.pdb
3he3_5_UDP_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3he3_5_UDP_0_holo_aligned_predicted_protein.pdb,OC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3he3_5_UDP_0_holo_aligned_predicted_protein.pdb
4kgx_1_CTP_5,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4kgx_1_CTP_5_holo_aligned_predicted_protein.pdb,NC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4kgx_1_CTP_5_holo_aligned_predicted_protein.pdb
4phs_1_UDP_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4phs_1_UDP_0_holo_aligned_predicted_protein.pdb,OC1CCN([C@@H]2O[C@H](CO[PH](O)([OH2+])O[PH](O)(O)[OH2+])[C@@H](O)[C@H]2O)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4phs_1_UDP_0_holo_aligned_predicted_protein.pdb
1tkg_1_SSA_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1tkg_1_SSA_0_holo_aligned_predicted_protein.pdb,NC1NCNC2C1NCN2[C@@H]1O[C@H](COS(O)(O)NC(O)[C@@H](N)CO)[C@@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1tkg_1_SSA_0_holo_aligned_predicted_protein.pdb
5k63_1_ASN-GLY_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5k63_1_ASN-GLY_0_holo_aligned_predicted_protein.pdb,NC(O)C[C@H](N)C(O)NCCO,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5k63_1_ASN-GLY_0_holo_aligned_predicted_protein.pdb
1u8u_1_OCA_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1u8u_1_OCA_0_holo_aligned_predicted_protein.pdb,CCCCCCCC(O)O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1u8u_1_OCA_0_holo_aligned_predicted_protein.pdb
5mh1_1_BMA_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5mh1_1_BMA_0_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5mh1_1_BMA_0_holo_aligned_predicted_protein.pdb
1i8t_1_FAD_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1i8t_1_FAD_1_holo_aligned_predicted_protein.pdb,CC1CC2NC3C(O)NC(O)NC3N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C(N)NCNC54)[C@H](O)[C@@H]3O)C2CC1C,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1i8t_1_FAD_1_holo_aligned_predicted_protein.pdb
1v2g_1_OCA_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1v2g_1_OCA_0_holo_aligned_predicted_protein.pdb,CCCCCCCC(O)O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/1v2g_1_OCA_0_holo_aligned_predicted_protein.pdb
5hqx_1_EDZ_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5hqx_1_EDZ_0_holo_aligned_predicted_protein.pdb,OCC[C@H]1CCCC[C@@H]1NC(O)N[C@H]1CNNS1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5hqx_1_EDZ_0_holo_aligned_predicted_protein.pdb
4fyv_1_DCP_2,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4fyv_1_DCP_2_holo_aligned_predicted_protein.pdb,NC1CCN([C@H]2C[C@H](O)[C@@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)O2)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4fyv_1_DCP_2_holo_aligned_predicted_protein.pdb
4pfx_1_UDP_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4pfx_1_UDP_0_holo_aligned_predicted_protein.pdb,OC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4pfx_1_UDP_0_holo_aligned_predicted_protein.pdb
3o7j_1_2AL_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o7j_1_2AL_0_holo_aligned_predicted_protein.pdb,NC(O)NC1NC(O)NC1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3o7j_1_2AL_0_holo_aligned_predicted_protein.pdb
4mos_1_GAF_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4mos_1_GAF_1_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4mos_1_GAF_1_holo_aligned_predicted_protein.pdb
5enq_1_5QE_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5enq_1_5QE_0_holo_aligned_predicted_protein.pdb,CC(O)NC1CCC(CCSC2NC(N3C[C@@H](C)O[C@@H](C)C3)[C@@H]3COC(C)(C)CC3C2CN)CC1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5enq_1_5QE_0_holo_aligned_predicted_protein.pdb
5fxd_1_H7Y_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5fxd_1_H7Y_1_holo_aligned_predicted_protein.pdb,CCC[C@H]1CCC(O)C(OC)C1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/5fxd_1_H7Y_1_holo_aligned_predicted_protein.pdb
4cdn_2_FAD_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4cdn_2_FAD_0_holo_aligned_predicted_protein.pdb,CC1CC2NC3C(O)NC(O)NC3N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C(N)NCNC54)[C@H](O)[C@@H]3O)C2C[C@H]1C,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4cdn_2_FAD_0_holo_aligned_predicted_protein.pdb
6yap_1_OHZ_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6yap_1_OHZ_0_holo_aligned_predicted_protein.pdb,OCC[C@H]1CCCC[C@@H]1NC(O)N[C@H]1CC(Cl)C[C@H](OC(F)(F)F)C1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6yap_1_OHZ_0_holo_aligned_predicted_protein.pdb
4fyw_1_CTP_4,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4fyw_1_CTP_4_holo_aligned_predicted_protein.pdb,NC1CCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)C(O)N1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/4fyw_1_CTP_4_holo_aligned_predicted_protein.pdb
2g7c_1_NAG-GAL-GLA_1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2g7c_1_NAG-GAL-GLA_1_holo_aligned_predicted_protein.pdb,CC(O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@@H](CO)O[C@H]1O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2g7c_1_NAG-GAL-GLA_1_holo_aligned_predicted_protein.pdb
3ad7_1_NAD_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ad7_1_NAD_0_holo_aligned_predicted_protein.pdb,N[C@H](O)C1CCCN([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5[C@H](N)NCN[C@H]54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ad7_1_NAD_0_holo_aligned_predicted_protein.pdb
3qrc_2_GU4-YYJ_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3qrc_2_GU4-YYJ_0_holo_aligned_predicted_protein.pdb,OS(O)(O)OC[C@H]1O[C@@](COS(O)(O)O)(O[C@H]2O[C@H](COS(O)(O)O)[C@@H](OS(O)(O)O)[C@H](OS(O)(O)O)[C@H]2OS(O)(O)O)[C@@H](OS(O)(O)O)[C@@H]1OS(O)(O)O,data/dockgen_set/dockgen_holo_aligned_predicted_structures/3qrc_2_GU4-YYJ_0_holo_aligned_predicted_protein.pdb
2gag_1_FOA_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gag_1_FOA_0_holo_aligned_predicted_protein.pdb,OC(O)C1CCCO1,data/dockgen_set/dockgen_holo_aligned_predicted_structures/2gag_1_FOA_0_holo_aligned_predicted_protein.pdb
6ur1_2_AT3_0,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6ur1_2_AT3_0_holo_aligned_predicted_protein.pdb,C[C@@H](O)SCC[N+](C)(C)C,data/dockgen_set/dockgen_holo_aligned_predicted_structures/6ur1_2_AT3_0_holo_aligned_predicted_protein.pdb
