complex_name,protein_path,ligand_description,protein_sequence
3gvl_1_SLB_2,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3gvl_1_SLB_2_holo_aligned_predicted_protein.pdb,CC(O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(O)O)C[C@@H]1O,
3inr_1_GDU_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3inr_1_GDU_0_holo_aligned_predicted_protein.pdb,OC[C@H]1O[C@H](O[PH](O)(O)O[PH](O)(O)OC[C@H]2O[C@@H](N3CCC(O)NC3O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,
3jqm_1_GTP_5,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3jqm_1_GTP_5_holo_aligned_predicted_protein.pdb,NC1NC(O)C2NCN([C@@H]3O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]3O)C2N1,
3ju4_1_SLB_2,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/3ju4_1_SLB_2_holo_aligned_predicted_protein.pdb,CC(O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(O)O)C[C@@H]1O,
4cnl_1_CHT_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/4cnl_1_CHT_1_holo_aligned_predicted_protein.pdb,C[N+](C)(C)CCO,
1hg0_1_SIN_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1hg0_1_SIN_1_holo_aligned_predicted_protein.pdb,OC(O)CCC(O)O,
1i8t_1_FAD_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1i8t_1_FAD_1_holo_aligned_predicted_protein.pdb,CC1CC2NC3C(O)NC(O)NC3N(C[C@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O[PH](O)(O)OC[C@H]3O[C@@H](N4CNC5C(N)NCNC54)[C@H](O)[C@@H]3O)C2CC1C,
1o28_1_UFP_2,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1o28_1_UFP_2_holo_aligned_predicted_protein.pdb,OC1NC(O)N([C@H]2C[C@H](O)[C@@H](CO[PH](O)(O)O)O2)CC1F,
1o72_2_PC_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1o72_2_PC_0_holo_aligned_predicted_protein.pdb,C[N+](C)(C)CCO[PH](O)(O)O,
1pj2_1_FUM_0,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1pj2_1_FUM_0_holo_aligned_predicted_protein.pdb,OC(O)CCC(O)O,
1pj4_1_FUM_1,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1pj4_1_FUM_1_holo_aligned_predicted_protein.pdb,OC(O)CCC(O)O,
1qaw_1_TRP_7,/bml/acmwhb/Repositories/Lab_Repositories/PoseBench/data/dockgen_set/dockgen_holo_aligned_predicted_structures/1qaw_1_TRP_7_holo_aligned_predicted_protein.pdb,N[C@@H](CC1CNC2CCCCC12)C(O)O,
