Entry ID,Deposition Date,Refinement Resolution (Å),Unnamed: 3
1FC5,2000-07-17,2.2,
1HO1,2000-12-08,2.0,
1HO4,2000-12-08,2.3,
1I24,2001-02-05,1.2,
1I2B,2001-02-07,1.75,
1I2C,2001-02-07,1.6,
1IXN,2002-06-28,2.3,
1IXO,2002-06-28,2.3,
1IXP,2002-06-28,2.3,
1IXQ,2002-06-28,2.3,
1IZ6,2002-09-25,2.0,
1JY8,2001-09-11,2.5,
1L5A,2002-03-06,2.55,
1M5W,2002-07-10,1.96,
1MKZ,2002-08-29,1.6,
1MWR,2002-10-01,2.45,
1MWS,2002-10-01,2.0,
1MWT,2002-10-01,2.45,
1MWU,2002-10-01,2.6,
1N0E,2002-10-13,2.7,
1N0F,2002-10-13,2.8,
1N0G,2002-10-13,2.8,
1N9W,2002-11-26,2.3,
1NCE,2002-12-05,2.4,
1NP6,2003-01-17,1.9,
1NQ4,2003-01-21,,
1NWV,2003-02-07,,
1O13,2002-10-15,1.83,
1OR5,2003-03-11,,
1OTV,2003-03-23,2.1,
1OTW,2003-03-23,2.3,
1P9N,2003-05-12,2.8,
1PN6,2003-06-12,10.8,
1Q15,2003-07-18,2.3,
1Q19,2003-07-18,2.4,
1QZD,2003-09-16,10.0,
1R2K,2003-09-28,2.1,
1RDU,2003-11-06,,
1RP0,2003-12-02,1.6,
1RZ4,2003-12-23,2.1,
1S7J,2004-01-29,2.3,
1SQI,2004-03-18,2.15,
1SR8,2004-03-22,1.9,
1TO9,2004-06-14,2.4,
1TUO,2004-06-25,1.7,
1TXK,2004-07-05,2.5,
1TYG,2004-07-07,3.15,
1U0M,2004-07-13,2.22,
1UC8,2003-04-09,2.0,
1UC9,2003-04-09,2.38,
1UWD,2004-02-03,,
1VK8,2004-05-05,1.8,
1VKM,2004-06-09,1.9,
1VKU,2004-06-18,2.0,
1VLI,2004-07-27,2.38,
1VQQ,2004-12-17,1.8,
1VRM,2005-03-10,1.58,
1WI8,2004-05-28,,
1WV2,2004-12-10,2.9,
1WZU,2005-03-09,2.0,
1X8D,2004-08-18,1.8,
1XM3,2004-10-01,1.8,
1XUA,2004-10-26,1.9,
1XUB,2004-10-26,1.3,
1XUU,2004-10-26,1.9,
1XUZ,2004-10-26,2.2,
1Y2Y,2004-11-23,,
1Y5E,2004-12-02,1.9,
1Z6H,2005-03-22,,
1ZNN,2005-05-11,2.2,
2A7K,2005-07-05,2.24,
2A81,2005-07-07,3.15,
2APG,2005-08-16,1.9,
2AQJ,2005-08-18,1.8,
2AR8,2005-08-19,2.2,
2ARD,2005-08-19,2.6,
2AVA,2005-08-29,,
2B1F,2005-09-15,1.5,
2B22,2005-09-16,2.0,
2B8F,2005-10-06,,
2B8G,2005-10-06,,
2D3W,2005-10-03,2.5,
2E8B,2007-01-19,1.61,
2EDG,2007-02-14,,
2EEY,2007-02-19,1.94,
2EKN,2007-03-23,2.05,
2F1R,2005-11-15,2.1,
2F98,2005-12-05,2.1,
2F99,2005-12-05,1.9,
2FAC,2005-12-07,1.76,
2FAD,2005-12-07,1.6,
2FAE,2005-12-07,1.55,
2FCT,2005-12-12,1.6,
2FCU,2005-12-12,1.6,
2FCV,2005-12-12,1.8,
2FUP,2006-01-27,1.48,
2FVA,2006-01-30,,
2FVE,2006-01-30,,
2FVF,2006-01-30,,
2G02,2006-02-10,2.5,
2G0D,2006-02-12,2.21,
2G4R,2006-02-22,1.92,
2G5F,2006-02-22,1.8,
2GRV,2006-04-25,2.4,
2H3G,2006-05-22,2.0,
2HES,2006-06-22,1.7,
2HTM,2006-07-26,2.3,
2HXV,2006-08-04,1.8,
2HY6,2006-08-04,1.25,
2IDE,2006-09-15,1.9,
2IIH,2006-09-28,1.75,
2IPZ,2006-10-12,1.35,
2JDJ,2007-01-10,2.0,
2JUG,2007-08-24,,
2K5P,2008-06-30,,
2KG6,2009-03-06,,
2KG8,2009-03-06,,
2KG9,2009-03-07,,
2KGA,2009-03-07,,
2KGC,2009-03-08,,
2KGD,2009-03-08,,
2KGE,2009-03-08,,
2KHR,2009-04-10,,
2L22,2010-08-10,,
2LEK,2011-06-16,,
2LRJ,2012-04-03,,
2M5O,2013-03-01,,
2MR7,2014-07-02,,
2MR8,2014-07-02,,
2MVU,2014-10-15,,
2MVV,2014-10-15,,
2N50,2015-07-02,,
2NQK,2006-10-31,2.9,
2NQM,2006-10-31,3.0,
2NQN,2006-10-31,2.2,
2NQQ,2006-10-31,2.4,
2NQR,2006-10-31,2.2,
2NQS,2006-10-31,2.5,
2NQU,2006-10-31,2.7,
2NQV,2006-10-31,2.82,
2NRN,2006-11-02,1.4,
2NRO,2006-11-02,2.5,
2NRP,2006-11-02,3.0,
2NRS,2006-11-02,2.8,
2O66,2006-12-06,1.9,
2O67,2006-12-06,2.5,
2OHD,2007-01-10,2.2,
2P38,2007-03-08,1.8,
2P7R,2007-03-20,,
2PRV,2007-05-04,1.3,
2PX0,2007-05-14,3.0,
2PX3,2007-05-14,3.2,
2PYX,2007-05-16,1.5,
2Q6I,2007-06-05,2.6,
2Q6K,2007-06-05,1.55,
2Q6L,2007-06-05,2.72,
2Q6O,2007-06-05,2.0,
2QD2,2007-06-20,2.2,
2QGM,2007-06-29,1.7,
2QGO,2007-06-29,2.04,
2RAD,2007-09-14,2.75,
2RER,2007-09-26,1.9,
2RES,2007-09-26,2.2,
2REZ,2007-09-27,1.95,
2V7I,2007-07-30,1.75,
2V7J,2007-07-30,2.0,
2V7K,2007-07-30,1.7,
2V7L,2007-07-30,2.4,
2V7M,2007-07-30,2.0,
2W6K,2008-12-18,1.7,
2W6L,2008-12-18,1.89,
2WFB,2009-04-03,2.0,
2WMC,2009-06-30,2.2,
2X0O,2009-12-16,2.4,
2X0P,2009-12-16,2.1,
2X0Q,2009-12-16,1.96,
2X2B,2010-01-12,2.69,
2X66,2010-02-15,2.09,
2X67,2010-02-15,2.16,
2X68,2010-02-15,2.13,
2X6Q,2010-02-19,2.2,
2XA1,2010-03-26,2.47,
2XA2,2010-03-26,2.5,
2XA9,2010-03-30,2.5,
2XEM,2010-05-17,2.1,
2Y4X,2011-01-11,1.7,
2Y4Y,2011-01-11,1.7,
2Z2L,2007-05-23,2.85,
2Z2M,2007-05-23,2.6,
2Z7E,2007-08-20,2.3,
2ZC3,2007-11-02,2.5,
2ZC4,2007-11-02,2.8,
2ZC5,2007-11-02,3.0,
2ZC6,2007-11-02,2.7,
3A3U,2009-06-20,1.65,
3A8E,2009-10-05,3.0,
3AJ1,2010-05-20,2.5,
3AJ2,2010-05-20,2.7,
3B4O,2007-10-24,1.9,
3B4P,2007-10-24,1.7,
3B55,2007-10-25,2.3,
3B8M,2007-11-01,2.7,
3B8N,2007-11-01,3.1,
3B8O,2007-11-01,2.4,
3BMZ,2007-12-13,1.21,
3BTN,2007-12-30,2.05,
3BY5,2008-01-15,2.52,
3C12,2008-01-22,2.51,
3CE7,2008-02-28,1.64,
3CKM,2008-03-16,1.35,
3CNM,2008-03-26,1.65,
3CNY,2008-03-26,1.85,
3CWI,2008-04-21,1.9,
3DWU,2008-07-23,12.6,
3DZB,2008-07-29,2.46,
3DZL,2008-07-30,1.75,
3EDN,2008-09-03,1.5,
3EPM,2008-09-29,2.793,
3EPN,2008-09-29,2.11,
3EPO,2008-09-29,2.1,
3EQU,2008-10-01,2.4,
3EQV,2008-10-01,2.4,
3EX9,2008-10-16,2.2,
3EZ9,2008-10-22,2.8,
3EZF,2008-10-22,2.8,
3FF0,2008-12-01,1.9,
3FFE,2008-12-03,2.25,
3FJS,2008-12-15,1.9,
3FM0,2008-12-19,1.7,
3FPZ,2009-01-06,1.82,
3G2B,2009-01-31,1.66,
3G3O,2009-02-02,2.1,
3G3Q,2009-02-02,2.64,
3G3R,2009-02-02,2.0,
3G3T,2009-02-02,1.85,
3G3U,2009-02-02,2.07,
3G7D,2009-02-09,1.8,
3G8R,2009-02-12,2.49,
3GBF,2009-02-19,1.92,
3GJA,2009-03-08,2.2,
