Identifier,StructureData,,,,,
Entry ID,Experimental Method,Deposition Date,PDB ID,Refinement Resolution (Å),Stucture Keywords,
"6Y7W","X-RAY DIFFRACTION","2020-03-02","6Y7W","1.39","TRANSFERASE"
"6Y7X","X-RAY DIFFRACTION","2020-03-02","6Y7X","1.45","TRANSFERASE"
"6Y7Y","X-RAY DIFFRACTION","2020-03-02","6Y7Y","1.51","TRANSFERASE"
"6Y7Z","X-RAY DIFFRACTION","2020-03-02","6Y7Z","1.35","TRANSFERASE"
"6Y80","X-RAY DIFFRACTION","2020-03-02","6Y80","1.24","TRANSFERASE"
"6Y81","X-RAY DIFFRACTION","2020-03-03","6Y81","1.54","TRANSFERASE"
"6Y82","X-RAY DIFFRACTION","2020-03-03","6Y82","1.44","TRANSFERASE"
"6Y85","X-RAY DIFFRACTION","2020-03-03","6Y85","1.58","TRANSFERASE"
"6Y87","X-RAY DIFFRACTION","2020-03-03","6Y87","2.15","TRANSFERASE"
"6Y89","X-RAY DIFFRACTION","2020-03-04","6Y89","1.56","TRANSFERASE"
"6Y8A","X-RAY DIFFRACTION","2020-03-04","6Y8A","1.5","PROTEIN BINDING"
"6Y8C","X-RAY DIFFRACTION","2020-03-04","6Y8C","1.76","TRANSFERASE"
"6Y8H","X-RAY DIFFRACTION","2020-03-05","6Y8H","1.37","TRANSFERASE"
"6Y8P","X-RAY DIFFRACTION","2020-03-05","6Y8P","2.3","TRANSFERASE"
"6Y9O","X-RAY DIFFRACTION","2020-03-10","6Y9O","1.632","STRUCTURAL PROTEIN"
"6Y9R","X-RAY DIFFRACTION","2020-03-10","6Y9R","2.08","TRANSFERASE"
"6Y9S","X-RAY DIFFRACTION","2020-03-10","6Y9S","2.03","TRANSFERASE"
"6Y9V","ELECTRON MICROSCOPY","2020-03-10","6Y9V","6.9","VIRAL PROTEIN"
"6Y9W","ELECTRON MICROSCOPY","2020-03-10","6Y9W","4.1","VIRAL PROTEIN"
"6Y9X","ELECTRON MICROSCOPY","2020-03-10","6Y9X","4.4","VIRAL PROTEIN"
"6Y9Y","ELECTRON MICROSCOPY","2020-03-10","6Y9Y","6.1","VIRAL PROTEIN"
"6Y9Z","ELECTRON MICROSCOPY","2020-03-10","6Y9Z","4.8","VIRAL PROTEIN"
"6YA6","X-RAY DIFFRACTION","2020-03-11","6YA6","1.44","CELL CYCLE"
"6YA7","X-RAY DIFFRACTION","2020-03-11","6YA7","1.67","CELL CYCLE"
"6YA8","X-RAY DIFFRACTION","2020-03-11","6YA8","1.79","CELL CYCLE"
"6YAJ","X-RAY DIFFRACTION","2020-03-12","6YAJ","1.9","TRANSFERASE"
"6YAT","X-RAY DIFFRACTION","2020-03-13","6YAT","2.58","TRANSFERASE"
"6YAW","X-RAY DIFFRACTION","2020-03-13","6YAW","2.19","TRANSFERASE"
"6YBH","X-RAY DIFFRACTION","2020-03-17","6YBH","2.4","TRANSFERASE"
"6YCA","X-RAY DIFFRACTION","2020-03-18","6YCA","2.9","TRANSFERASE"
"6YCU","X-RAY DIFFRACTION","2020-03-19","6YCU","1.35","TRANSFERASE"
"6YCW","X-RAY DIFFRACTION","2020-03-19","6YCW","1.34","TRANSFERASE"
"6YF8","X-RAY DIFFRACTION","2020-03-26","6YF8","3.198","TRANSFERASE"
"6YFW","X-RAY DIFFRACTION","2020-03-26","6YFW","1.26","TRANSFERASE"
"6YFX","X-RAY DIFFRACTION","2020-03-26","6YFX","1.38","TRANSFERASE"
"6YFZ","X-RAY DIFFRACTION","2020-03-27","6YFZ","1.9","TRANSFERASE"
"6YG0","X-RAY DIFFRACTION","2020-03-27","6YG0","2","TRANSFERASE"
"6YG1","X-RAY DIFFRACTION","2020-03-27","6YG1","2.22","TRANSFERASE"
"6YG2","X-RAY DIFFRACTION","2020-03-27","6YG2","2","TRANSFERASE"
"6YG3","X-RAY DIFFRACTION","2020-03-27","6YG3","2.05","TRANSFERASE"
"6YG4","X-RAY DIFFRACTION","2020-03-27","6YG4","2.3","TRANSFERASE"
"6YG5","X-RAY DIFFRACTION","2020-03-27","6YG5","2.4","TRANSFERASE"
"6YG6","X-RAY DIFFRACTION","2020-03-27","6YG6","2.15","TRANSFERASE"
"6YG7","X-RAY DIFFRACTION","2020-03-27","6YG7","2.2","TRANSFERASE"
"6YGA","X-RAY DIFFRACTION","2020-03-27","6YGA","2.397","TRANSFERASE"
"6YGB","X-RAY DIFFRACTION","2020-03-27","6YGB","2.451","TRANSFERASE"
"6YGC","X-RAY DIFFRACTION","2020-03-27","6YGC","2.994","TRANSFERASE"
"6YGD","X-RAY DIFFRACTION","2020-03-27","6YGD","2.752","TRANSFERASE"
"6YGK","X-RAY DIFFRACTION","2020-03-27","6YGK","1.4","TRANSFERASE"
"6YGL","X-RAY DIFFRACTION","2020-03-27","6YGL","1.48","TRANSFERASE"
"6YGM","X-RAY DIFFRACTION","2020-03-27","6YGM","1.23","TRANSFERASE"
"6YGN","X-RAY DIFFRACTION","2020-03-27","6YGN","2.4","STRUCTURAL PROTEIN"
"6YGO","X-RAY DIFFRACTION","2020-03-27","6YGO","1.26","TRANSFERASE"
"6YGP","X-RAY DIFFRACTION","2020-03-27","6YGP","1.33","TRANSFERASE"
"6YGR","X-RAY DIFFRACTION","2020-03-27","6YGR","1.7","TRANSFERASE"
"6YGS","X-RAY DIFFRACTION","2020-03-27","6YGS","1.4","TRANSFERASE"
"6YGV","X-RAY DIFFRACTION","2020-03-27","6YGV","1.63","TRANSFERASE"
"6YGW","X-RAY DIFFRACTION","2020-03-27","6YGW","1.16","TRANSFERASE"
"6YGX","X-RAY DIFFRACTION","2020-03-27","6YGX","1.35","TRANSFERASE"
"6YGY","X-RAY DIFFRACTION","2020-03-28","6YGY","1.52","TRANSFERASE"
"6YGZ","X-RAY DIFFRACTION","2020-03-28","6YGZ","1.86","TRANSFERASE"
"6YH1","X-RAY DIFFRACTION","2020-03-28","6YH1","1.55","TRANSFERASE"
"6YH2","X-RAY DIFFRACTION","2020-03-28","6YH2","1.19","TRANSFERASE"
"6YH3","X-RAY DIFFRACTION","2020-03-28","6YH3","1.49","TRANSFERASE"
"6YHD","X-RAY DIFFRACTION","2020-03-28","6YHD","1.25","TRANSFERASE"
"6YHE","X-RAY DIFFRACTION","2020-03-29","6YHE","1.54","TRANSFERASE"
"6YI1","X-RAY DIFFRACTION","2020-03-31","6YI1","1.92","TRANSFERASE"
"6YI8","X-RAY DIFFRACTION","2020-04-01","6YI8","2.13","TRANSFERASE"
"6YI9","X-RAY DIFFRACTION","2020-04-01","6YI9","1.75","LYASE"
"6YID","X-RAY DIFFRACTION","2020-04-01","6YID","2.7","TRANSFERASE"
"6YIJ","X-RAY DIFFRACTION","2020-04-01","6YIJ","2.2","TRANSCRIPTION"
"6YIK","X-RAY DIFFRACTION","2020-04-01","6YIK","1.7","TRANSCRIPTION"
"6YIL","X-RAY DIFFRACTION","2020-04-01","6YIL","1.22","TRANSCRIPTION"
"6YIM","X-RAY DIFFRACTION","2020-04-01","6YIM","1.23","TRANSCRIPTION"
"6YIQ","X-RAY DIFFRACTION","2020-04-01","6YIQ","1.58","TRANSFERASE"
"6YJ0","SOLUTION NMR","2020-04-02","6YJ0",,"PROTEIN BINDING"
"6YJC","X-RAY DIFFRACTION","2020-04-02","6YJC","1.74100939272","TRANSFERASE"
"6YJE","X-RAY DIFFRACTION","2020-04-03","6YJE","1.62","BIOSYNTHETIC PROTEIN"
"6YJF","X-RAY DIFFRACTION","2020-04-03","6YJF","1.85","BIOSYNTHETIC PROTEIN"
"6YJQ","X-RAY DIFFRACTION","2020-04-04","6YJQ","1.9","TRANSFERASE"
"6YJR","X-RAY DIFFRACTION","2020-04-04","6YJR","2.198","TRANSFERASE"
"6YJS","X-RAY DIFFRACTION","2020-04-04","6YJS","1.6","TRANSFERASE"
